job_idx,resume_idx,job_title,resume_id,final_score,skills,experience,education,domain,semantic,label
185,2373,Secretary / office helper,29221006,0.8926369863013699,1.0,1.0,0.75,1.0,0.5342465753424658,1
185,96,Secretary / office helper,15575117,0.884417808219178,1.0,1.0,0.75,1.0,0.4794520547945205,1
185,81,Secretary / office helper,24508725,0.8100342465753424,1.0,1.0,0.75,0.6,0.3835616438356164,1
185,2369,Secretary / office helper,16833515,0.8079794520547945,1.0,1.0,0.75,0.6,0.3698630136986301,1
242,1830,Cheif Accountant,21338490,0.5170454545454546,0.0,1.0,0.75,1.0,0.36363636363636365,0
242,1843,Cheif Accountant,53640713,0.5034090909090909,0.0,1.0,0.75,0.75,0.5227272727272727,0
242,1561,Cheif Accountant,66741193,0.49829545454545454,0.0,1.0,0.75,0.875,0.36363636363636365,0
242,1914,Cheif Accountant,26975573,0.4948863636363636,0.0,1.0,0.75,0.875,0.3409090909090909,0
242,1915,Cheif Accountant,28298773,0.48806818181818185,0.0,1.0,0.75,0.875,0.29545454545454547,0
242,1855,Cheif Accountant,15363277,0.48636363636363633,0.0,1.0,0.75,0.75,0.4090909090909091,0
242,1515,Cheif Accountant,81677620,0.4829545454545454,0.0,1.0,0.75,0.75,0.38636363636363635,0
242,1541,Cheif Accountant,14181049,0.4829545454545454,0.0,1.0,0.75,0.75,0.38636363636363635,0
242,1536,Cheif Accountant,15011085,0.47954545454545455,0.0,1.0,0.75,0.75,0.36363636363636365,0
242,1887,Cheif Accountant,12065211,0.47954545454545455,0.0,1.0,0.75,0.75,0.36363636363636365,0
271,1224,Sales representative,26167298,0.5102272727272728,0.0,1.0,0.75,1.0,0.3181818181818182,0
271,250,Sales representative,32959732,0.5079545454545454,0.0,1.0,0.75,1.0,0.30303030303030304,0
271,570,Sales representative,29208172,0.5079545454545454,0.0,1.0,0.75,1.0,0.30303030303030304,0
271,2134,Sales representative,33072201,0.4893181818181818,0.0,1.0,0.75,0.8,0.3787878787878788,0
271,737,Sales representative,15680735,0.48704545454545456,0.0,1.0,0.75,0.8,0.36363636363636365,0
271,581,Sales representative,15423153,0.48477272727272724,0.0,1.0,0.75,0.8,0.3484848484848485,0
271,2341,Sales representative,27715131,0.48477272727272724,0.0,1.0,0.75,0.8,0.3484848484848485,0
271,650,Sales representative,27375577,0.4825,0.0,1.0,0.75,0.8,0.3333333333333333,0
271,1188,Sales representative,13313917,0.4825,0.0,1.0,0.75,0.8,0.3333333333333333,0
271,1314,Sales representative,23810469,0.4825,0.0,1.0,0.75,0.8,0.3333333333333333,0
297,81,Research Analyst,24508725,0.836304347826087,1.0,1.0,0.75,0.8,0.358695652173913,1
297,2,Research Analyst,33176873,0.8341847826086957,1.0,1.0,0.75,0.9,0.24456521739130435,1
297,22,Research Analyst,25676643,0.8322282608695651,1.0,1.0,0.75,0.8,0.33152173913043476,1
297,52,Research Analyst,72231872,0.8151086956521739,1.0,1.0,0.75,0.8,0.21739130434782608,1
297,46,Research Analyst,34554248,0.8134782608695652,1.0,1.0,0.75,0.8,0.20652173913043478,1
297,92,Research Analyst,23510685,0.8102173913043478,1.0,1.0,0.75,0.8,0.18478260869565216,1
298,81,Procurement Specialist,24508725,0.8370454545454545,1.0,1.0,0.75,0.8,0.36363636363636365,1
298,2,Procurement Specialist,33176873,0.8298863636363636,1.0,1.0,0.75,0.9,0.2159090909090909,1
298,22,Procurement Specialist,25676643,0.8234090909090909,1.0,1.0,0.75,0.8,0.2727272727272727,1
298,46,Procurement Specialist,34554248,0.8234090909090909,1.0,1.0,0.75,0.8,0.2727272727272727,1
